Nom,Genre,Épisodes,Date de Diffusion,Score,Rank,Téléspectateurs,Acteurs,Date Debut,Date Fin
The Missing Snowflakes (2024),"Historical, Romance",18.0,"Apr 29, 2024 - May 5, 2024",7.1,9226.0,833,"Zhao Jia Min, Li Jun Chen, Zhao Jiu Yi, Xu Jia Man, Cheng Yi, Wu Yi Jia","Apr 29, 2024","May 5, 2024"
Part for Ever (2024),"Historical, Romance",28.0,"Mar 21, 2024 - Apr 2, 2024",7.1,9039.0,"2,471","Cai Zheng Jie, Jiang Yuan Ya Rong, Yuan Zi Ming, Cheung Hoi Yuet, Austin Sui, Huang Chu Yao","Mar 21, 2024","Apr 2, 2024"
My Beloved Wife (2024),"Historical, Comedy, Romance",20.0,"Jan 4, 2024",7.1,9290.0,949,"Wang Jia Yin, Han Hao Tian, Chen Zheng Yang, Wang Kai Yi, Wang Qian Hui, Liu Guang Nan","Jan 4, 2024",
Phoenix Lands in the World (2024),"Romance, Wuxia, Fantasy",24.0,"Jun 11, 2024",7.1,9268.0,907,"Ke Ying, Aaron Deng, Cao Xing Yu, Li Jia Le, Gan Shu Jie","Jun 11, 2024",
"Marry Me, My Evil Lord (2024)","Historical, Mystery, Romance",20.0,"Feb 28, 2024",7.1,9256.0,784,"Ma Hao Dong, Wang Xin Ting, Bo Cheng Jun, Rambo Su, Bi Shao Yan, Liu Run Ming","Feb 28, 2024",
Fox Spirit Matchmaker: Red-Moon Pact (2024),"Romance, Wuxia, Drama, Fantasy",36.0,"May 23, 2024 - Jun 11, 2024",7.1,9303.0,"11,688","Yang Mi, Gong Jun, Cristy Guo, Miles Wei, Hu Lian Xin, Wen Zheng Rong","May 23, 2024","Jun 11, 2024"
Crush (2024),"Historical, Romance",24.0,"Jun 27, 2024 - Jul 12, 2024",7.1,9322.0,"1,038","Zhao Ying Bo, Ling Mei Shi, Tiffany Gao, Yao Qing Ren, Li Jing Yao, Dou Yi Kun","Jun 27, 2024","Jul 12, 2024"
Attacking Lady (2024),"Romance, Drama",21.0,"Jan 12, 2024 - Jan 22, 2024",7.1,9452.0,"1,288","Sun Zi Jun, Yang Chuan Bei, Jiang Xin Qi, Pei Zheng Zheng, Xing Luo Dan, Guo Hao Ran","Jan 12, 2024","Jan 22, 2024"
General Order (2024),"Historical, Mystery, Romance, Fantasy",24.0,"Oct 29, 2024 - Nov 4, 2024",7.1,9383.0,884,"Cheng Yu Feng, Qiao Jing Wen, Li Zhen Xiao, Lu Ming, Liu Xin Nian","Oct 29, 2024","Nov 4, 2024"
Their Wonderful Time (2024),"Romance, Fantasy",26.0,"Sep 3, 2024 - Sep 21, 2024",7.1,9410.0,"2,628","Zhou Jie Qiong, Ge Qiu Gu, Zhang Si Fan, Miffy Shi, Bai Zhi Jie, Yu Zi Yang","Sep 3, 2024","Sep 21, 2024"
Dual Love (2024),"Romance, Wuxia, Drama",23.0,"Sep 27, 2024 - Sep 30, 2024",7.1,9413.0,"1,098","Dai Gao Zheng, Si Yue, Wang Xu Dong, Cao Tian Kai, Cheng Mu Xuan, Zhang Yu Cheng","Sep 27, 2024","Sep 30, 2024"
Moment of Silence (2024),Thriller,20.0,"May 7, 2024 - May 20, 2024",7.0,9573.0,"1,070","Bai Xu Han, Liu Yan Qiao, Zhao Xi Xi, Huang Hao Wen, Canti Lau","May 7, 2024","May 20, 2024"
Save It for the Honeymoon (2024),Romance,23.0,"May 21, 2024 - Jun 4, 2024",7.0,9726.0,939,"Guan Yue, Lin Xiao Zhai, Leng Xin Qing, Feng Xiang, Qin Yue, Chen Yang","May 21, 2024","Jun 4, 2024"
Rainforest Passions (2024),"Action, Mystery, Romance",30.0,"Dec 29, 2024 - Jan 10, 2025",7.1,9374.0,"1,765","Dai Gao Zheng, Zheng Miao, Yuan Da Sen, Yu Xi, Zuo Jin Zhu, Wang Guo Hua","Dec 29, 2024","Jan 10, 2025"
Love in a Dream (2024),"Historical, Romance, Drama",24.0,"Jul 9, 2024 - Jul 25, 2024",7.0,9858.0,"1,001","Huangyang Tian Tian, Zhang Jing Yun, Chu Xiao Long, Wang Xiao Shi, Li Bai Hui, Qiu Hong Kai","Jul 9, 2024","Jul 25, 2024"
Agarwood Like a Dream (2024),"Thriller, Historical, Romance",20.0,"Nov 5, 2024 - Nov 12, 2024",7.0,9911.0,720,"Li Jiu Lin, Zhang Ya Zhuo, Ran Xu, Ma Jun Ke, Du Xia Jian, Shang Guan Tong","Nov 5, 2024","Nov 12, 2024"
Flame Bride (2024),"Historical, Romance",28.0,"Jun 17, 2024 - Jul 3, 2024",6.9,10035.0,647,"Lin Yan Rou, Cavan Wen, Hank Qi, Xu Ruo Tong, Feng Huan Huan, Liu Wei Zhou","Jun 17, 2024","Jul 3, 2024"
Beloved of a Lifetime (2024),"Romance, Wuxia, Drama, Fantasy",26.0,"Oct 4, 2024 - Oct 21, 2024",6.9,10164.0,"1,001","Zhong Li Li, Guan Yue, Xie An Ran, Wu Hai, Yin Rui, Jiao Xue Rui","Oct 4, 2024","Oct 21, 2024"
Life Is Drama (2024),"Romance, Drama",24.0,"Feb 5, 2024 - Feb 15, 2024",6.9,10202.0,867,"Wang Xuan, Pu Yu Tong, Zhou Qian","Feb 5, 2024","Feb 15, 2024"
Orange Soda (2024),"Romance, Youth, Drama",20.0,"May 13, 2024 - May 24, 2024",6.9,10247.0,"1,255","Eleanor Lee, He Chang Xi, Hollis, Jin Mei Chen, Zhu La La, Kong Bi Yu","May 13, 2024","May 24, 2024"
Romantic Boyfriend (2024),Romance,24.0,"Aug 22, 2024",6.8,10378.0,"1,011","Duan Xiao Wei, Cai Zheng Jie, Jennifer Zhou, Chen Mu, Liu Wan Ting, Liu Man","Aug 22, 2024",
The Silent Wife (2024),"Romance, Drama",24.0,"Dec 5, 2024 - Dec 20, 2024",6.7,10575.0,"1,611","Teng Ze Wen, Tian Xu Ning, Liu Xin Nian, Tong Liang, Wang Zhi Yong, Cai Hai Ting","Dec 5, 2024","Dec 20, 2024"
A Beautiful Lie (2024),"Romance, Life, Drama",36.0,"Oct 19, 2024 - Nov 3, 2024",6.4,11027.0,"6,499","Chen Xing Xu, Zhang Yu Xi, Wang Sen, Chen Hao Lan, Lin Xin Yi, Yang Bing Zhuo","Oct 19, 2024","Nov 3, 2024"
Inverse Identity (2024),Romance,9.0,"May 3, 2024 - May 19, 2024",6.0,11234.0,"2,081",,"May 3, 2024","May 19, 2024"
Moments of Youth (2024),"Comedy, Romance, Youth, Drama",24.0,"Jan 26, 2024",7.3,61126.0,403,"Wu Yu Heng, Zhou Yan Chen, Yang Xi Zi, Lam King Kong, Lin Xin Meng, Sun Kai","Jan 26, 2024",
Shen Qing You Yin (2024),Romance,99.0,"Oct 1, 2024",7.4,59556.0,152,,"Oct 1, 2024",
In the Grip of Love (2024),Romance,30.0,"Dec 12, 2024 - Dec 24, 2024",7.3,60959.0,541,"Ai Xiao Qi, Cheng Yu Feng, Ni Han Jin, Feng Wan He, Xu Yi Wen, Peng Yi Han","Dec 12, 2024","Dec 24, 2024"
The Cycle of Xia Yang (2024),"Mystery, Romance, Drama, Fantasy",85.0,"Sep 26, 2024",7.0,65983.0,111,"Xu Meng Yuan, He Jian Qi","Sep 26, 2024",
An Actor's Rhapsody Season 2 (2024),"Historical, Comedy, Romance",24.0,"Jul 15, 2024 - Jul 30, 2024",7.0,67463.0,86,"Chen Teng Yue, Cao Xi Yue, Wang Jia Li, Suo Lang Mei Qi, Joy, Jin Lu Ying","Jul 15, 2024","Jul 30, 2024"
Nan Zong Zhe Ci Wan Da Le (2024),"Comedy, Romance",97.0,"May 14, 2024",7.0,66913.0,42,,"May 14, 2024",
Proud and Partial (2024),Romance,99.0,"Feb 12, 2024",6.2,76206.0,55,,"Feb 12, 2024",
"Fu Shao, Nin Fu Ren Ma Jia Cang Bu Zhu Le (2024)",Romance,79.0,"Feb 21, 2024",6.4,75363.0,14,,"Feb 21, 2024",
Tian Tang Mei You Yi Wang (2024),,60.0,"Sep 25, 2024",5.9,77787.0,7,,"Sep 25, 2024",
Survival Code (2024),"Adventure, Romance, Drama",34.0,"Sep 9, 2024 - Sep 24, 2024",,45127.0,288,,"Sep 9, 2024","Sep 24, 2024"
Love in B&B,"Comedy, Romance, Drama",12.0,,,45688.0,"1,052",,nan,
She and Her Girls (2024),"Youth, Drama",23.0,"Sep 10, 2024 - Sep 26, 2024",8.4,47414.0,955,"Song Jia, Lan Xi Ya, Du Lan, Nie Yuan, Zhang Yue, Zhai Zi Lu","Sep 10, 2024","Sep 26, 2024"
Defenders of the Hidden (2024),Documentary,2.0,"Jul 29, 2024 - Aug 5, 2024",8.4,47634.0,128,Wang Yi Bo,"Jul 29, 2024","Aug 5, 2024"
Growing Together (2024),"Comedy, Family",40.0,"Feb 1, 2024 - Feb 22, 2024",8.2,48441.0,208,"Zhang Jia Yi, Chen Hao, Wang Yu Xuan, Wei Ruo Jin, Wang Xiao Chen, Ling Zi","Feb 1, 2024","Feb 22, 2024"
Wings of the Nation (2024),Military,35.0,"Jun 11, 2024 - Jul 5, 2024",8.2,48666.0,237,"Zhu Ya Wen, Hou Yong, Li You Bin, Du Chun, Tong Lei, Zhang Yao","Jun 11, 2024","Jul 5, 2024"
Jia You Ba Shao Nian (2024),"Comedy, Youth",24.0,"Aug 12, 2024 - Aug 28, 2024",8.1,49175.0,617,"Roy Xie, Zhang Chen Xiao, Elmira Yi, Su Zi Yi, Liu Tang Hui, Hu Bo Wen","Aug 12, 2024","Aug 28, 2024"
Romance in the Alley (2024),"Romance, Life, Family, Melodrama",40.0,"Oct 28, 2024 - Nov 17, 2024",7.9,3150.0,"1,374","Yan Ni, Li Guang Jie, Guo Xiao Dong, Jiang Xin, Fan Cheng Cheng, Guan Xiao Tong","Oct 28, 2024","Nov 17, 2024"
The Song Dynasty (2024),"Historical, Romance",27.0,"Feb 1, 2024 - Feb 9, 2024",8.1,49324.0,107,,"Feb 1, 2024","Feb 9, 2024"
The Favourite: Part 1 (2024),,36.0,"Nov 22, 2024",7.6,54194.0,45,"Wang Bo, Zhao Fei, Zhang Shan Shan","Nov 22, 2024",
Sunrise on the River (2024),"Thriller, Mystery, Drama",24.0,"Feb 29, 2024 - Mar 10, 2024",8.1,49043.0,323,"Huang Zhi Zhong, Mei Ting, Jiang Wu, Zhang Guo Qiang, Su Ke, Li Qiang","Feb 29, 2024","Mar 10, 2024"
The Great Nobody (2024),"Historical, Comedy",14.0,"Feb 24, 2024 - Feb 29, 2024",8.0,49665.0,131,"Tu Dou, Lu Yan, Zhang Da Bao, Ma Xu Dong, Zhang Xiao Wan, Tang Xiao Tian","Feb 24, 2024","Feb 29, 2024"
Fu Hua Meng (2024),"Historical, Fantasy",32.0,"Aug 16, 2024 - Oct 10, 2024",7.9,50691.0,117,,"Aug 16, 2024","Oct 10, 2024"
Teresa Teng (2024),"Music, Historical, Life",48.0,"Jun 6, 2024 - Jul 3, 2024",7.9,51167.0,385,"Michelle Chen, Peter Ho, Jiang Shan, Peng Guan Ying, Hou Yong, Coco Lyu","Jun 6, 2024","Jul 3, 2024"
Escape from the Trilateral Slopes (2024),"Adventure, Thriller, Mystery",21.0,"Aug 16, 2024 - Aug 29, 2024",7.9,50499.0,544,"Guo Qi Lin, Francis Ng, Jiang Qi Lin, Wei Wei, Qian Jie, Zhao Run Nan","Aug 16, 2024","Aug 29, 2024"
The City of Sunlight (2024),Drama,21.0,"Oct 2, 2024 - Oct 11, 2024",7.8,51491.0,193,"Zhou You, Yangshik Tso, Zhang Tong, Wang Zhuo Cuo, Duo Bu Jie, Yan Xiao Pin","Oct 2, 2024","Oct 11, 2024"
Born to Be the One (2024),"Drama, Family",37.0,"Aug 31, 2024 - Sep 15, 2024",7.9,51216.0,351,"Yin Tao, Lawrence Wang, Zhang Ruo Nan, Zhang Zhe Hua, Amy Chen, Qin Jun Jie","Aug 31, 2024","Sep 15, 2024"
Rich Families Chasing My Pet (2024),"Comedy, Romance, Fantasy",50.0,"Oct 23, 2024",7.9,51152.0,79,,"Oct 23, 2024",
Lost Identity (2024),"Historical, Mystery, Crime, War",40.0,"Jun 29, 2024 - Jul 27, 2024",7.9,51198.0,862,"Johnny Huang, Xin Zhi Lei, Kido Ma, Ma Yue, Luo Qiu Yun, Dong Xuan","Jun 29, 2024","Jul 27, 2024"
Hi Mom (2024),"Romance, Drama, Fantasy",82.0,"Feb 12, 2024",7.9,51266.0,262,,"Feb 12, 2024",
Battle of Shangganling (2024),"Action, Military, Historical, War",24.0,"Oct 14, 2024 - Oct 29, 2024",7.9,51356.0,164,"Huang Xuan, Wang Lei, Yuan Wen Kang, Pan Bin Long, Liu Hao Cun, Zhao Run Nan","Oct 14, 2024","Oct 29, 2024"
We Are Criminal Police (2024),Action,38.0,"Nov 27, 2024 - Dec 13, 2024",7.8,51577.0,216,"Yu He Wei, Fu Da Long, Bai Fan, Ding Yong Dai, Ma Su, Huang Man","Nov 27, 2024","Dec 13, 2024"
Soul Sisters (2024),"Comedy, Wuxia",24.0,"Dec 27, 2024 - Dec 29, 2024",7.8,52004.0,371,"Vicky Liang, Yang Fu Yu, Ye Yi, Chen Sheng Heng, Chang Jin, Benjamin Zhang","Dec 27, 2024","Dec 29, 2024"
The Wind of Journey (2024),"Food, Romance, Life",18.0,"Feb 16, 2024 - Mar 5, 2024",7.8,51988.0,138,,"Feb 16, 2024","Mar 5, 2024"
Like a Flowing River Season 3 (2024),"Historical, Business, Life",33.0,"Jan 8, 2024 - Jan 31, 2024",7.6,54176.0,276,"Wang Kai, Yang Shuo, Dong Zi Jian, Yang Cai Yu, Bu Yu Xin, Liu Dan","Jan 8, 2024","Jan 31, 2024"
My Best Friend Sees Me Spoiled (2024),Romance,52.0,"Dec 7, 2024",7.4,59536.0,55,,"Dec 7, 2024",
Bank on Me (2024),Drama,26.0,"Aug 18, 2024 - Aug 27, 2024",7.6,54394.0,206.0,"Bai Yu, Wang Zhi Fei, Dong Yong, Li Nai Wen, Wang You Jun, Ren Bin","Aug 18, 2024","Aug 27, 2024"
Detective Chinatown Season 2 (2024),"Action, Thriller, Mystery, Comedy",16.0,"Feb 29, 2024 - Mar 9, 2024",7.8,52463.0,592.0,"Roy Chiu, Shang Yu Xian, Yvonne Yung, Yu Hao Ming, Baby Zhang, Jiang Yun Lin","Feb 29, 2024","Mar 9, 2024"
Ming Ri You Qing Tian (2024),"Life, Youth, Drama",16.0,"Sep 26, 2024 - Oct 11, 2024",7.7,52681.0,265.0,,"Sep 26, 2024","Oct 11, 2024"
An Lian De Xiao Qing Mei Ta Ren Mei Ge Tian (2024),Romance,86.0,"Nov 24, 2024",7.7,53274.0,173.0,,"Nov 24, 2024",
San Wan Ying Chi De An Lian (2024),Romance,91.0,"Oct 20, 2024",7.7,53010.0,262.0,,"Oct 20, 2024",
Deep as the Sea Love Becomes Empty (2024),Drama,30.0,"Dec 18, 2024",7.5,56817.0,75.0,,"Dec 18, 2024",
Days of Tranquility (2024),"Romance, Life",12.0,"Nov 15, 2024 - Nov 21, 2024",7.6,55626.0,37.0,"Yu Lang, Jiang Qi Lin, Guo Jing Lin, Chi Jia, Xu Ke Long, Li Jia Wei","Nov 15, 2024","Nov 21, 2024"
For the Young Ones (2024),"Thriller, Crime, Drama, Family",18.0,"Aug 14, 2024 - Aug 22, 2024",7.6,54175.0,516.0,"Zhang Yi, Qin Lan, Wang Zhen Er, Zou Yuan Qing, Jia Xiao Han, Jiang Jun","Aug 14, 2024","Aug 22, 2024"
You Coexist with Tenderness (2024),"Romance, Drama",89.0,"Sep 18, 2024",7.4,58641.0,126.0,,"Sep 18, 2024",
Heiress Reborn (2024),"Romance, Fantasy",24.0,"Sep 24, 2024 - Oct 3, 2024",7.7,53051.0,532.0,"Chen Fang Tong, Hei Ze, Wang Cheng, Li Zi Yi, Jiang Yu Shun, Zhang Yi Ke","Sep 24, 2024","Oct 3, 2024"
Define Your Style (2024),Romance,101.0,"Dec 11, 2024",7.6,54197.0,118.0,,"Dec 11, 2024",
Go Where You Are (2024),Romance,74.0,"Feb 14, 2024",7.5,55957.0,321.0,,"Feb 14, 2024",
The Queen of Winter (2024),"Romance, Drama",70.0,"Mar 16, 2024",7.6,55389.0,335.0,,"Mar 16, 2024",
The Storm of Roses (2024),Business,40.0,"Dec 29, 2024 - Jan 21, 2025",7.6,54337.0,273.0,"Tan Zhuo, Liu Yi Jun, Gao Ye, Lin Yu Shen, Wei Ran, Yan Shi Kui","Dec 29, 2024","Jan 21, 2025"
Shan Hun Gao Leng Ji Zhang Da Ren (2024),Romance,92.0,"Nov 14, 2024",7.6,55290.0,151.0,,"Nov 14, 2024",
Love Miss (2024),"Romance, Youth",101.0,"Aug 4, 2024",7.6,54810.0,78.0,,"Aug 4, 2024",
Scout Hero (2024),"Military, Drama, War",32.0,"Jan 9, 2024 - Jan 27, 2024",7.7,53666.0,270.0,"Luo Jin, Ma Si Chun, Cao Lu, Huang Cheng Cheng, Shang Bai, Yang Fan","Jan 9, 2024","Jan 27, 2024"
Jiao Guan De Shou Hu (2024),Romance,89.0,"Feb 8, 2024 - Feb 17, 2024",7.6,54637.0,34.0,"Marshal Zhang, Zou Jia Jia","Feb 8, 2024","Feb 17, 2024"
Tou Ting Wo Xin Sheng Hou Huang Di Bang Wo Qu Gong Dou (2024),"Historical, Romance, Fantasy",71.0,"Nov 8, 2024",7.6,55033.0,22.0,,"Nov 8, 2024",
Jiang Xiao Jie Ta Xia Shan Le (2024),"Comedy, Romance",149.0,"Sep 4, 2024",7.6,54469.0,325.0,,"Sep 4, 2024",
Just in Time (2024),"Drama, Family",40.0,"Jun 3, 2024 - Jun 23, 2024",7.6,55613.0,241,"Qin Hai Lu, Bao Jian Feng, Zuo Xiao Qing, Tian Yu, Pan Zhi Lin, Du Yuan","Jun 3, 2024","Jun 23, 2024"
Moonlight Remains Gentle (2024),Romance,81.0,"Oct 30, 2024",7.7,53849.0,49,,"Oct 30, 2024",
Bei Xie Yi Sheng Ju Jia Hao You 99 Ci (2024),"Comedy, Romance",90.0,"Jun 27, 2024",7.5,55711.0,205,,"Jun 27, 2024",
In the Name of the Brother (2024),"Thriller, Historical, Mystery, Political",40.0,"Apr 21, 2024 - May 9, 2024",7.6,54851.0,997,"Qin Hao, Yang Mi, Zhang Zi Xian, Luan Yuan Hui, Rain Wang, Liu Yu Xuan","Apr 21, 2024","May 9, 2024"
Prince of Beijing Circle (2024),"Comedy, Romance",75.0,"Oct 18, 2024",7.6,54912.0,261,,"Oct 18, 2024",
City of the City (2024),"Business, Drama",40.0,"Apr 9, 2024 - Apr 30, 2024",7.6,55321.0,465,"Bai Yu Fan, Yu He Wei, Xia Meng, Long Ni, Lawrence Wang, Feng Jia Yi","Apr 9, 2024","Apr 30, 2024"
Crush the Village Husband (2024),"Historical, Comedy, Romance, Fantasy",65.0,"Oct 2, 2024",7.3,60273.0,19,,"Oct 2, 2024",
The Gate of Xuan Wu (2024),"Historical, Romance, Crime",41.0,"Mar 5, 2024 - Mar 28, 2024",7.6,55555.0,222,"Ren Zhong, Tong Lei, Li Yi Xiao, Zhang Feng Yi, Liu Ren He, Xin Yi","Mar 5, 2024","Mar 28, 2024"
Braveness of the Ming (2024),"Romance, Wuxia, Drama, Fantasy",60.0,"Sep 16, 2024 - Oct 25, 2024",7.2,61978.0,"4,689","Hans Zhang, Park Min Young, Jeremy Tsui, Shawn Wei, Tony Chen, Guo Xing","Sep 16, 2024","Oct 25, 2024"
Simple Days (2024),"Life, Family",26.0,"Mar 14, 2024 - Mar 24, 2024",7.5,56072.0,997,"Chen Xiao, Tong Yao, Sa Ri Na, Ying Er, Qiao Zhen Yu, Yu Hao Ming","Mar 14, 2024","Mar 24, 2024"
Mr. Pei Loves Her so Much (2024),"Romance, Drama",99.0,"Jan 16, 2024",7.6,55395.0,343,,"Jan 16, 2024",
Ding Ji Hao Men Zong Cai Cheng Le Wo De Jin Si Que (2024),"Comedy, Romance",85.0,"Sep 26, 2024",7.5,56076.0,226,,"Sep 26, 2024",
Evening Star for You (2024),"Romance, Drama",100.0,"Sep 15, 2024",7.4,58039.0,198,,"Sep 15, 2024",
Player Ten Season 2 (2024),,9.0,"Aug 12, 2024 - Aug 22, 2024",7.6,55624.0,90,,"Aug 12, 2024","Aug 22, 2024"
He He You Ming (2024),Romance,87.0,"Nov 3, 2024",7.5,56131.0,90,,"Nov 3, 2024",
That Year Love Letter (2024),Romance,80.0,"Oct 15, 2024",7.4,58579.0,67,,"Oct 15, 2024",
A Soldier's Story (2024),"Historical, Comedy",24.0,"Jan 25, 2024 - Feb 4, 2024",7.4,57937.0,149,"Jiang Long, Shi Ce, Qin Hai Lu, You Yong, Jiang Yi, Liu Pei Qi","Jan 25, 2024","Feb 4, 2024"
Embracing the Stars Together (2024),"Romance, Youth",24.0,"Mar 1, 2024",7.5,56814.0,928,"Wu Qian Ying, Victor Liu, Li Jia Jia, Pan Lu Yu, Zhang Shi An, Bellamy","Mar 1, 2024",
Let Wind Goes By (2024),Mystery,24.0,"Dec 26, 2024 - Jan 5, 2025",7.5,57305.0,246,"Wang Jing Chun, Jiang Qi Ming, Yang Cai Yu, Wu Xiao Liang, Tan Kai, Una You","Dec 26, 2024","Jan 5, 2025"
Really Want You to Know (2024),Romance,70.0,"Oct 3, 2024",7.5,57173.0,115,,"Oct 3, 2024",
The Story of Pearl Girl (2024),"Historical, Business, Romance, Drama",40.0,"Nov 1, 2024 - Nov 22, 2024",8.2,1379.0,"18,947","Zhao Lu Si, Liu Yu Ning, Tang Xiao Tian, Yu Yong Hai, Shang Wan Qing, Chloe Xie","Nov 1, 2024","Nov 22, 2024"
Love of Nirvana (2024),"Romance, Wuxia, Drama, Political",40.0,"Sep 14, 2024 - Oct 3, 2024",8.2,1322.0,"8,561","Ren Jia Lun, Landy Li, Jeremy Tsui, Gao Han, Zhang Feng Yi, Wen Zheng Rong","Sep 14, 2024","Oct 3, 2024"
You Are My Lover Friend (2024),"Romance, Youth, Drama",30.0,"Sep 23, 2024 - Oct 6, 2024",8.2,1345.0,"11,078","Zhang Xin Cheng, Wang Yu Wen, Wu Jun Ting, Luo Qiu Yun, Guan Yue, Guo Yun Qi","Sep 23, 2024","Oct 6, 2024"
The Land of Warriors (2024),"Romance, Wuxia, Fantasy",38.0,"Nov 25, 2024 - Dec 14, 2024",8.3,1184.0,"5,683","Zhou Yi Ran, Zhang Yu Xi, Ding Jia Yi, Luke Chen, Snow Kong, Zhou Jing Bo","Nov 25, 2024","Dec 14, 2024"
Lost You Forever Season 2 (2024),"Romance, Wuxia, Drama, Fantasy",23.0,"Jul 8, 2024 - Jul 22, 2024",8.2,1394.0,"7,209","Yang Zi, Zhang Wan Yi, Deng Wei, Tan Jian Ci, Wang Hong Yi, Dai Lu Wa","Jul 8, 2024","Jul 22, 2024"
You Are My Secret (2024),"Romance, Life",32.0,"Jul 31, 2024 - Aug 16, 2024",8.2,1386.0,"15,056","Karlina Zhang, Miles Wei, Wang Zhen Er, Zhou Cheng Ao, Dai Yun Fan, Ke Ying","Jul 31, 2024","Aug 16, 2024"
The Princess Royal (2024),"Historical, Romance, Fantasy",40.0,"Jun 26, 2024 - Jul 13, 2024",8.2,1405.0,"17,599","Zhao Jin Mai, Zhang Ling He, Chen He Yi, Liu Xu Wei, Cheng Guo, He Qiu","Jun 26, 2024","Jul 13, 2024"
19th Floor (2024),"Adventure, Thriller, Mystery, Youth",30.0,"Jan 16, 2024 - Feb 2, 2024",8.2,1419.0,"7,853","Sun Qian, Miles Wei, Bai Shu, Rachel Wang, Tao Hai, Xiao Kai Zhong","Jan 16, 2024","Feb 2, 2024"
The Tale of Rose (2024),"Romance, Life",38.0,"Jun 8, 2024 - Jun 22, 2024",8.2,1425.0,"6,063","Crystal Liu, Tong Da Wei, Wan Qian, Zhu Zhu, Wu Bi, Wang Yan Yang","Jun 8, 2024","Jun 22, 2024"
White Cat Legend (2024),"Adventure, Historical, Mystery, Fantasy",36.0,"Feb 20, 2024 - Mar 8, 2024",8.2,1431.0,"6,186","Ding Yu Xi, Zhou Qi, Ding Jia Wen, Zhang Yi Cong, Miles Wei, Feng Man","Feb 20, 2024","Mar 8, 2024"
Adventure behind the Bronze Door (2024),"Action, Adventure, Mystery, Horror",32.0,"Aug 26, 2024 - Sep 16, 2024",8.2,1462.0,"2,505","Edward Zhang, Janice Man, Chen Ming Hao, Zhang Kang Le, Shawn Wei, Di Ma","Aug 26, 2024","Sep 16, 2024"
The First Shot (2024),"Thriller, Mystery, Drama",32.0,"Sep 3, 2024 - Sep 20, 2024",8.2,1560.0,"2,485","Johnny Huang, Zhang Yu, Wang Zi Qi, Chloe Xie, Liu Run Nan, Zhao Yu Tong","Sep 3, 2024","Sep 20, 2024"
Regeneration (2024),"Thriller, Mystery",10.0,"May 6, 2024 - May 15, 2024",8.2,1618.0,"3,474","Jing Bo Ran, Zhou Yi Ran, Wang Yan Hui, Chen Yu Xian, Huang Jue, He Liao Lu Yun","May 6, 2024","May 15, 2024"
Bright Time (2024),"Romance, Life, Youth",32.0,"Jul 6, 2024 - Jul 21, 2024",8.2,1493.0,"2,632","Hao Fu Shen, Bian Cheng, Huang Zi Xing, Gu Shu Qi, Bian Tian Yang, Li Zhe Hao","Jul 6, 2024","Jul 21, 2024"
Love Endures (2024),"Romance, Life, Youth, Drama",32.0,"Jan 20, 2024 - Feb 8, 2024",8.1,1730.0,"8,347","Yang Zi, Fan Cheng Cheng, Zhu Yan Man Zi, Wang Qian Yue, Fang Yue Qiao, Zhao Rui","Jan 20, 2024","Feb 8, 2024"
Sword and Fairy 4 (2024),"Romance, Wuxia, Fantasy",36.0,"Jan 17, 2024 - Feb 1, 2024",8.1,1866.0,"7,847","Chen Zhe Yuan, Ju Jing Yi, Mao Zi Jun, Mao Xiao Hui, Wang Duo, Wang Yuan Ke","Jan 17, 2024","Feb 1, 2024"
As Beautiful as You (2024),"Business, Comedy, Romance",40.0,"Jul 2, 2024 - Jul 23, 2024",8.1,1831.0,"18,828","Tan Song Yun, Xu Kai, He Rui Xian, Gao Han, Tang Zhen Chao, Luo Peng","Jul 2, 2024","Jul 23, 2024"
Melody of Golden Age (2024),"Historical, Mystery, Romance, Drama",40.0,"Aug 26, 2024 - Sep 13, 2024",8.1,1901.0,"11,139","Ding Yu Xi, Ancy Deng, Mao Zi Jun, Xiao Yan, Amber Song, Ethan Yao","Aug 26, 2024","Sep 13, 2024"
The Way Home (2024),"Youth, Drama, Family",16.0,"Dec 24, 2024 - Jan 3, 2025",8.1,1875.0,"2,473","Mark Ma, Zhang Kang Le, Vivi Chen, Yuan Ming Ze, Yao Jing Yuan, Fu Yu Shu","Dec 24, 2024","Jan 3, 2025"
Different Princess (2024),"Historical, Mystery, Romance, Fantasy",36.0,"Jan 12, 2024 - Feb 3, 2024",8.1,2069.0,"6,184","Ireine Song, Ding Ze Ren, Zhu Rong Jun, Sun Zu Jun, Zhang Yue Nan, Lin Lu","Jan 12, 2024","Feb 3, 2024"
In Blossom (2024),"Thriller, Historical, Romance, Fantasy",32.0,"Mar 15, 2024 - Apr 1, 2024",8.1,2117.0,"13,106","Ju Jing Yi, Liu Xue Yi, Wu Jia Yi, Li Ge Yang, Qi Pei Xin, Ding Jie","Mar 15, 2024","Apr 1, 2024"
Blue Canvas of Youthful Days (2024),"Romance, Youth, Family",12.0,"Oct 26, 2024 - Dec 1, 2024",8.0,2168.0,"10,105","Guo Jia Le, Zhang Xuan Yu, Xiao Zi Zhuo, Yao Xing Hao, Hu Ze Ming, Li Jue Xuan","Oct 26, 2024","Dec 1, 2024"
